country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","08-04-2025 11:00:00",28.5627763,77.1180053,PM10,108,240,160
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","08-04-2025 11:00:00",28.6811736,77.3025234,PM10,112,195,151
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","08-04-2025 11:00:00",28.6811736,77.3025234,NH3,10,13,11
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","08-04-2025 11:00:00",28.6811736,77.3025234,CO,6,109,42
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","08-04-2025 11:00:00",30.719859,76.738637,PM2.5,60,263,114
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","08-04-2025 11:00:00",30.719859,76.738637,NH3,5,10,7
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","08-04-2025 11:00:00",30.719859,76.738637,SO2,6,8,7
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","08-04-2025 11:00:00",30.719859,76.738637,CO,16,129,33
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","08-04-2025 11:00:00",30.719859,76.738637,OZONE,3,147,39
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","08-04-2025 11:00:00",21.194815,81.314770,NO2,9,84,31
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","08-04-2025 11:00:00",21.194815,81.314770,NH3,2,4,3
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","08-04-2025 11:00:00",21.219665,81.630094,NO2,50,326,130
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","08-04-2025 11:00:00",21.219665,81.630094,CO,21,121,42
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","08-04-2025 11:00:00",21.237755,81.705301,SO2,10,15,12
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","08-04-2025 11:00:00",22.06631475,83.33820077,PM2.5,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","08-04-2025 11:00:00",22.06631475,83.33820077,PM10,NA,NA,NA
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","08-04-2025 11:00:00",21.224231,81.408350,NH3,3,5,4
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","08-04-2025 11:00:00",21.224231,81.408350,SO2,7,98,34
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","08-04-2025 11:00:00",21.224231,81.408350,OZONE,12,32,17
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","08-04-2025 11:00:00",22.08815,82.13737,NO2,25,45,28
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","08-04-2025 11:00:00",22.118125,83.140608,NH3,7,7,7
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","08-04-2025 11:00:00",28.656756,77.227234,PM2.5,66,206,122
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","08-04-2025 11:00:00",28.656756,77.227234,NH3,3,8,5
India,Delhi,Delhi,"DTU, Delhi - CPCB","08-04-2025 11:00:00",28.7500499,77.1112615,PM10,137,381,240
India,Delhi,Delhi,"DTU, Delhi - CPCB","08-04-2025 11:00:00",28.7500499,77.1112615,NO2,30,64,45
India,Delhi,Delhi,"DTU, Delhi - CPCB","08-04-2025 11:00:00",28.7500499,77.1112615,SO2,67,74,70
India,Delhi,Delhi,"DTU, Delhi - CPCB","08-04-2025 11:00:00",28.7500499,77.1112615,CO,30,72,52
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","08-04-2025 11:00:00",28.4706914,77.1099364,CO,NA,NA,NA
India,Delhi,Delhi,"Bawana, Delhi - DPCC","08-04-2025 11:00:00",28.776200,77.051074,PM10,129,340,229
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","08-04-2025 11:00:00",28.7256504,77.2011573,PM2.5,77,328,209
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","08-04-2025 11:00:00",30.735567,76.775714,OZONE,2,242,177
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","08-04-2025 11:00:00",30.751462,76.762879,NO2,32,113,62
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","08-04-2025 11:00:00",28.672342,77.315260,OZONE,18,305,78
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","08-04-2025 11:00:00",28.699793,77.165453,OZONE,17,317,67
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","08-04-2025 11:00:00",23.107969,72.574648,PM2.5,41,226,89
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","08-04-2025 11:00:00",22.977134,72.553024,NH3,1,44,8
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","08-04-2025 11:00:00",22.977134,72.553024,SO2,9,103,45
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","08-04-2025 11:00:00",23.002657,72.591912,PM10,67,413,147
India,Delhi,Delhi,"ITO, Delhi - CPCB","08-04-2025 11:00:00",28.628624,77.241060,CO,10,114,63
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","08-04-2025 11:00:00",28.732820,77.170633,CO,34,106,70
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","08-04-2025 11:00:00",28.580280,77.233829,PM10,89,252,172
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","08-04-2025 11:00:00",28.580280,77.233829,NO2,53,169,121
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","08-04-2025 11:00:00",28.580280,77.233829,CO,46,122,86
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","08-04-2025 11:00:00",28.588333,77.221667,SO2,19,81,45
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","08-04-2025 11:00:00",28.710508,77.249485,CO,20,78,47
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","08-04-2025 11:00:00",28.531346,77.190156,PM2.5,72,333,179
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","08-04-2025 11:00:00",28.531346,77.190156,NO2,18,154,70
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","08-04-2025 11:00:00",28.531346,77.190156,OZONE,9,298,31
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","08-04-2025 11:00:00",28.672342,77.315260,NH3,1,4,3
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","08-04-2025 11:00:00",28.60909,77.0325413,NH3,8,14,11
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","08-04-2025 11:00:00",28.570173,76.933762,NO2,37,184,103
India,Delhi,Delhi,"Narela, Delhi - DPCC","08-04-2025 11:00:00",28.822836,77.101981,PM10,118,408,263
India,Delhi,Delhi,"Narela, Delhi - DPCC","08-04-2025 11:00:00",28.822836,77.101981,NO2,19,69,43
India,Delhi,Delhi,"Narela, Delhi - DPCC","08-04-2025 11:00:00",28.822836,77.101981,CO,8,69,44
India,Delhi,Delhi,"Rohini, Delhi - DPCC","08-04-2025 11:00:00",28.732528,77.119920,CO,20,84,56
India,Delhi,Delhi,"Rohini, Delhi - DPCC","08-04-2025 11:00:00",28.732528,77.119920,OZONE,5,301,38
